num,name,explain,address
0,부산근대역사관,"[0.0, 0.07914060766111854, 0.14010037441321252, 0.168193403762879, 0.0, 0.336386807525758, 0.0, 0.15653374311442628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.168193403762879, 0.0, 0.0, 0.0, 0.09130374899694041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1284407137647598, 0.0, 0.0, 0.14748980769627337, 0.0, 0.0, 0.0, 0.168193403762879, 0.15653374311442628, 0.0, 0.0, 0.0, 0.0, 0.15653374311442628, 0.15653374311442628, 0.1338526975934643, 0.0, 0.0, 0.16451962715757504, 0.15653374311442628, 0.15653374311442628, 0.168193403762879, 0.0933826495033328, 0.0, 0.0, 0.0, 0.14748980769627337, 0.0, 0.336386807525758, 0.0, 0.14748980769627337, 0.0, 0.0, 0.11200734506354602, 0.168193403762879, 0.0, 0.0, 0.0, 0.16451962715757504, 0.0, 0.0, 0.15653374311442628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15653374311442628, 0.29497961539254675, 0.0, 0.14748980769627337, 0.0, 0.0, 0.0, 0.168193403762879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29497961539254675, 0.0, 0.15653374311442628, 0.0]",부산광역시 중구 대청로 104 (대청동2가)
1,임시수도기념관,"[0.0, 0.0, 0.0, 0.1680542538154264, 0.1473677862701557, 0.0, 0.0, 0.0, 0.0, 0.2947355725403114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0933053920694462, 0.0, 0.1473677862701557, 0.15640423944994464, 0.0, 0.0, 0.08219175830146472, 0.0, 0.0, 0.0, 0.15640423944994464, 0.0, 0.0, 0.1680542538154264, 0.15640423944994464, 0.1680542538154264, 0.1680542538154264, 0.1473677862701557, 0.13998446642097537, 0.0, 0.0, 0.1680542538154264, 0.0, 0.15640423944994464, 0.0, 0.1473677862701557, 0.0, 0.0, 0.1680542538154264, 0.3361085076308528, 0.0, 0.0, 0.0, 0.3361085076308528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10287822584673541, 0.0, 0.0, 0.0, 0.15640423944994464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1680542538154264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1680542538154264, 0.1680542538154264, 0.2947355725403114, 0.0, 0.0, 0.1680542538154264, 0.11929799887570468, 0.0, 0.0, 0.15640423944994464, 0.0]",부산광역시 서구 임시수도기념로 45 (부민동3가)
2,40계단,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1405907132107052, 0.1964798877565841, 0.21111499945779225, 0.0, 0.0, 0.0, 0.0, 0.1964798877565841, 0.0, 0.0, 0.0, 0.18512801319917618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12595560150949703, 0.1964798877565841, 0.0, 0.0, 0.0, 0.0, 0.1964798877565841, 0.0, 0.0, 0.0, 0.21111499945779225, 0.0, 0.21111499945779225, 0.0, 0.0, 0.0, 0.1964798877565841, 0.0, 0.0, 0.0, 0.0, 0.1032518523946813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1964798877565841, 0.0, 0.21111499945779225, 0.0, 0.17585285633424874, 0.0, 0.0, 0.12923883865329736, 0.0, 0.0, 0.0, 0.21111499945779225, 0.0, 0.0, 0.0, 0.0, 0.1964798877565841, 0.17585285633424874, 0.0, 0.21111499945779225, 0.1964798877565841, 0.0]",부산광역시 중구 동광길 49 (동광동5가)
3,임시수도정부청사,"[0.14989491194400367, 0.29978982388800735, 0.14989491194400367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10640708360890132, 0.0, 0.0, 0.14989491194400367, 0.13950375648192176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13950375648192176, 0.0, 0.0, 0.13950375648192176, 0.0, 0.0, 0.14989491194400367, 0.10296445373966705, 0.0, 0.12485824542558724, 0.0, 0.0, 0.07053055679450176, 0.14989491194400367, 0.13950375648192176, 0.12485824542558724, 0.0, 0.0, 0.0, 0.11446708996350533, 0.08137041709048488, 0.29978982388800735, 0.0, 0.13144375012731774, 0.0, 0.0, 0.0, 0.13144375012731774, 0.12485824542558724, 0.0, 0.14989491194400367, 0.11929028053636344, 0.0, 0.0, 0.0, 0.14989491194400367, 0.0, 0.0, 0.0, 0.0, 0.2628875002546355, 0.14989491194400367, 0.0, 0.0, 0.0, 0.0, 0.2628875002546355, 0.0, 0.13144375012731774, 0.0, 0.0, 0.0, 0.13950375648192176, 0.0, 0.0, 0.14989491194400367, 0.0, 0.11929028053636344, 0.0, 0.0, 0.14989491194400367, 0.14989491194400367, 0.0, 0.0, 0.0, 0.14989491194400367, 0.14989491194400367, 0.13144375012731774, 0.14989491194400367, 0.0, 0.13144375012731774, 0.13950375648192176, 0.0, 0.0, 0.0]",부산광역시 서구 구덕로 225 (부민동2가)
4,우암동소막마을,"[0.0, 0.0, 0.0, 0.13656380312996313, 0.11892586086059284, 0.11892586086059284, 0.0, 0.0, 0.0, 0.14493776628888277, 0.07327789311702874, 0.09291395543230291, 0.11450578779317339, 0.0, 0.12972177704102805, 0.0, 0.14493776628888277, 0.0, 0.10370987161273813, 0.0, 0.12393692640925598, 0.0, 0.0, 0.0, 0.0, 0.23785172172118568, 0.25361997682014986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13656380312996313, 0.25361997682014986, 0.0, 0.0, 0.0, 0.0, 0.13656380312996313, 0.0, 0.0, 0.23785172172118568, 0.25361997682014986, 0.0, 0.12972177704102805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.0, 0.14493776628888277, 0.0, 0.14493776628888277, 0.0, 0.14493776628888277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10370987161273813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.14493776628888277, 0.0, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.14493776628888277, 0.0, 0.0, 0.0, 0.0, 0.15573368246931799, 0.15573368246931799, 0.0, 0.15573368246931799, 0.0, 0.0, 0.0, 0.0, 0.14493776628888277, 0.0, 0.14493776628888277, 0.0, 0.0, 0.14493776628888277, 0.0, 0.0, 0.0, 0.0]","부산광역시 남구 우암동 외 16 189-1123
"
5,가덕도외양포마을,"[0.1034275234002617, 0.0, 0.11555927274788959, 0.24833377178775443, 0.46223709099155835, 0.0, 0.34667781824366883, 0.058424662211390435, 0.07408054776065857, 0.09129577405263384, 0.12416688589387721, 0.12416688589387721, 0.0, 0.0, 0.06893868918721131, 0.10888268929114153, 0.0, 0.11555927274788959, 0.0, 0.46223709099155835, 0.11555927274788959, 0.0, 0.0, 0.0, 0.10888268929114153, 0.0, 0.0, 0.0, 0.12416688589387721, 0.0, 0.0, 0.11555927274788959, 0.0, 0.0, 0.0, 0.34667781824366883, 0.12416688589387721, 0.12416688589387721, 0.0, 0.12416688589387721, 0.0, 0.09129577405263384, 0.0, 0.0, 0.10888268929114153, 0.0, 0.37250065768163165, 0.0, 0.12416688589387721, 0.0, 0.0, 0.0, 0.0, 0.07408054776065857, 0.0, 0.08529159137432667, 0.0, 0.0, 0.09481991025427408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34667781824366883, 0.0, 0.0, 0.37250065768163165, 0.0, 0.0, 0.12416688589387721, 0.46223709099155835, 0.0, 0.0, 0.0, 0.0, 0.11555927274788959, 0.09481991025427408, 0.12416688589387721, 0.0, 0.0, 0.0, 0.0, 0.46223709099155835, 0.12416688589387721, 0.0, 0.07601157744989814, 0.24833377178775443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07408054776065857, 0.0, 0.0, 0.0, 0.09481991025427408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0826881609066462, 0.0, 0.09881524635833225, 0.12416688589387721, 0.0]",부산광역시 강서구 대항동 산13-23
6,부산민주공원,"[0.0, 0.0, 0.15680534951287456, 0.084139174352429, 0.10668570237693731, 0.0, 0.0, 0.0, 0.0, 0.16642050513864978, 0.14230691162474543, 0.0, 0.4096593112733806, 0.17881659671771785, 0.0, 0.17881659671771785, 0.17881659671771785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4096593112733806, 0.0, 0.0, 0.0, 0.0, 0.16642050513864978, 0.0, 0.0, 0.0, 0.4096593112733806, 0.0, 0.16642050513864978, 0.0, 0.0, 0.0, 0.0, 0.17881659671771785, 0.19856150363912017, 0.0, 0.0, 0.17881659671771785, 0.0, 0.15680534951287456, 0.17881659671771785, 0.19856150363912017, 0.0, 0.15680534951287456, 0.16642050513864978, 0.0, 0.0, 0.0, 0.17881659671771785, 0.0, 0.17881659671771785, 0.0, 0.0, 0.1489491953368616, 0.0, 0.0, 0.0, 0.16642050513864978, 0.17881659671771785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17881659671771785, 0.0, 0.0, 0.0, 0.0, 0.17881659671771785, 0.0, 0.0, 0.0, 0.16642050513864978, 0.0]",부산광역시 중구 영주동 산10-4번지
7,10.16 기념관,"[0.12671394668921213, 0.40336905509034787, 0.1179297638094527, 0.0, 0.0, 0.12671394668921213, 0.0, 0.0, 0.1179297638094527, 0.12671394668921213, 0.11111622222697698, 0.35378929142835813, 0.0, 0.12671394668921213, 0.0, 0.0, 0.0, 0.38014184006763635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35378929142835813, 0.0, 0.1179297638094527, 0.0, 0.40336905509034787, 0.11111622222697698, 0.0, 0.0, 0.11111622222697698, 0.11111622222697698, 0.0, 0.0, 0.12671394668921213, 0.0, 0.0, 0.38014184006763635, 0.0, 0.1179297638094527, 0.0, 0.11111622222697698, 0.12671394668921213, 0.0, 0.0, 0.0, 0.29029491155890624, 0.12671394668921213, 0.0, 0.0, 0.12671394668921213, 0.0, 0.38014184006763635, 0.0, 0.0, 0.35378929142835813, 0.0, 0.40336905509034787, 0.1179297638094527, 0.0, 0.0, 0.29029491155890624, 0.0, 0.0, 0.0, 0.29029491155890624, 0.0, 0.0, 0.0, 0.11111622222697698, 0.0, 0.0, 0.40336905509034787, 0.1179297638094527, 0.0, 0.0, 0.0, 0.0, 0.12671394668921213, 0.1179297638094527, 0.0, 0.12671394668921213, 0.12671394668921213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12671394668921213, 0.10554915339939483, 0.0, 0.0, 0.0, 0.0]",부산광역시 금정구 부산대학로63번길 2
8,10.16부마민중항쟁탑,"[0.15776590359390658, 0.15776590359390658, 0.31553180718781315, 0.0, 0.0, 0.0, 0.13834587006098523, 0.0, 0.0, 0.0, 0.15776590359390658, 0.0, 0.13141456007577, 0.0, 0.31553180718781315, 0.0, 0.0, 0.13141456007577, 0.0, 0.0, 0.07715994520819593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3766626629559092, 0.13834587006098523, 0.0, 0.13834587006098523, 0.0, 0.15776590359390658, 0.0, 0.1468291078775014, 0.15776590359390658, 0.0, 0.0, 0.1468291078775014, 0.13834587006098523, 0.0, 0.1468291078775014, 0.15776590359390658, 0.0, 0.0, 0.3766626629559092, 0.2936582157550028, 0.15776590359390658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15776590359390658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08564318302471208, 0.15776590359390658, 0.0, 0.1468291078775014, 0.11199452654284867, 0.2936582157550028, 0.0, 0.0, 0.0]",부산광역시 금정구 부산대학로63번길 2[장전동 산30]
9,4.19혁명 고 강수영 추념탑,"[0.0, 0.3889240189805948, 0.0, 0.0, 0.1944620094902974, 0.0, 0.1944620094902974, 0.0, 0.0, 0.18098133195510932, 0.1705249061038677, 0.0, 0.0, 0.15475793917827194, 0.0, 0.1944620094902974, 0.16198138410437035, 0.0, 0.1705249061038677, 0.0, 0.0, 0.0, 0.14298143625363138, 0.0, 0.0, 0.0, 0.0, 0.15475793917827194, 0.0, 0.0, 0.0, 0.18098133195510932, 0.0, 0.0, 0.0, 0.1944620094902974, 0.0, 0.18098133195510932, 0.0, 0.0, 0.0, 0.0, 0.3889240189805948, 0.0, 0.0, 0.0, 0.0, 0.18098133195510932, 0.0, 0.0, 0.10796724049622967, 0.1944620094902974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3239627682087407, 0.1944620094902974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1705249061038677, 0.0, 0.3239627682087407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1944620094902974, 0.14850070656918227, 0.0, 0.0, 0.0, 0.0, 0.16198138410437035, 0.0]",부산광역시 부산지구 전포1동 696-1번지 경남공업고등학교
